192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.08"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.07"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.08"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.03"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.03"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.04"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.08"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.08"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.09"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "95", "SystemLoad": "0.05"}
192.168.0.232 | OK | {"CpuIdle": "99", "SystemLoad": "0.10"}
